company,plan,next
株式会社Gopher1,free,FALSE
株式会社Gopher2,lunch,TRUE
株式会社Gopher3,gold,TRUE
株式会社Gopher4,silver,TRUE
株式会社Gopher5,drink,FALSE
株式会社Gopher6,gold,TRUE
株式会社Gopher7,gold,TRUE
株式会社Gopher8,gold,TRUE
株式会社Gopher9,drink,TRUE
株式会社Gopher10,gold,TRUE
株式会社Gopher11,drink,FALSE
株式会社Gopher12,gold,TRUE
株式会社Gopher13,gold,TRUE
株式会社Gopher14,lunch,TRUE
株式会社Gopher15,lunch,TRUE
株式会社Gopher16,silver,TRUE
株式会社Gopher17,drink,FALSE
株式会社Gopher18,lunch,TRUE
株式会社Gopher19,drink,FALSE
株式会社Gopher20,drink,TRUE
株式会社Gopher21,lunch,TRUE
株式会社Gopher22,silver,TRUE
株式会社Gopher23,gold,TRUE
株式会社Gopher24,lunch,TRUE
株式会社Gopher25,silver,TRUE
株式会社Gopher26,silver,FALSE
株式会社Gopher27,gold,TRUE
株式会社Gopher28,lunch,TRUE
株式会社Gopher29,gold,TRUE
株式会社Gopher30,silver,TRUE
株式会社Gopher31,gold,TRUE
株式会社Gopher32,lunch,TRUE
株式会社Gopher33,gold,TRUE
株式会社Gopher34,lunch,FALSE
株式会社Gopher35,gold,TRUE
株式会社Gopher36,silver,TRUE
株式会社Gopher37,gold,TRUE
株式会社Gopher38,silver,TRUE
株式会社Gopher39,gold,TRUE
株式会社Gopher40,gold,TRUE
株式会社Gopher41,gold,TRUE
株式会社Gopher42,drink,FALSE
株式会社Gopher43,gold,TRUE
株式会社Gopher44,gold,TRUE
株式会社Gopher45,gold,TRUE
株式会社Gopher46,silver,TRUE
株式会社Gopher47,silver,TRUE
株式会社Gopher48,gold,FALSE
株式会社Gopher49,silver,TRUE
株式会社Gopher50,silver,TRUE
株式会社Gopher51,silver,TRUE
株式会社Gopher52,drink,TRUE
株式会社Gopher53,lunch,TRUE
